recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,author.deck_playtime_at_review,COMPETENCE SATISFACTION_TF,COMPETENCE SATISFACTION_QUOTE,COMPETENCE FRUSTRATION_TF,COMPETENCE FRUSTRATION_QUOTE,AUTONOMY SATISFACTION_TF,AUTONOMY SATISFACTION_QUOTE,AUTONOMY FRUSTRATION_TF,AUTONOMY FRUSTRATION_QUOTE,RELATEDNESS SATISFACTION_TF,RELATEDNESS SATISFACTION_QUOTE,RELATEDNESS FRUSTRATION_TF,RELATEDNESS FRUSTRATION_QUOTE,raw_llm_output
200854665,english,Words can't describe how good this game is but numbers can 3/10.,1753636643,1753636643,False,0,0,0.5,0,True,False,False,False,76561198272638159,0,48,1799,135,1799,1753636615,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE
COMPETENCE SATISFACTION QUOTE: 

COMPETENCE FRUSTRATION: FALSE
COMPETENCE FRUSTRATION QUOTE: 

AUTONOMY SATISFACTION: FALSE
AUTONOMY SATISFACTION QUOTE: 

AUTONOMY FRUSTRATION: FALSE
AUTONOMY FRUSTRATION QUOTE: 

RELATEDNESS SATISFACTION: FALSE
RELATEDNESS SATISFACTION QUOTE: 

RELATEDNESS FRUSTRATION: FALSE
RELATEDNESS FRUSTRATION QUOTE:"
200854497,english,There's shit that fucks and shit that don't fuck. This shit do indeed fuck.,1753636506,1753636506,True,0,0,0.5,0,True,False,False,False,76561198298405937,75,8,3065,590,3030,1753670361,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE
COMPETENCE SATISFACTION QUOTE: 

COMPETENCE FRUSTRATION: FALSE
COMPETENCE FRUSTRATION QUOTE: 

AUTONOMY SATISFACTION: FALSE
AUTONOMY SATISFACTION QUOTE: 

AUTONOMY FRUSTRATION: FALSE
AUTONOMY FRUSTRATION QUOTE: 

RELATEDNESS SATISFACTION: FALSE
RELATEDNESS SATISFACTION QUOTE: 

RELATEDNESS FRUSTRATION: FALSE
RELATEDNESS FRUSTRATION QUOTE:"
200818664,english,"It's the first fallout if you couldn't break the in-game economy in the first three hours by holding 4 and 1 when gambling, and if it was a lot longer and harder.",1753603472,1753641587,True,0,0,0.5,0,True,False,False,False,76561199444231439,119,131,698,0,698,1751684157,,False,,True,if you couldn't break the in-game economy,False,,True,if it was a lot longer and harder,False,,False,,"COMPETENCE SATISFACTION: FALSE
COMPETENCE SATISFACTION QUOTE: 

COMPETENCE FRUSTRATION: TRUE
COMPETENCE FRUSTRATION QUOTE: ""if you couldn't break the in-game economy""

AUTONOMY SATISFACTION: FALSE
AUTONOMY SATISFACTION QUOTE: 

AUTONOMY FRUSTRATION: TRUE
AUTONOMY FRUSTRATION QUOTE: ""if it was a lot longer and harder""

RELATEDNESS SATISFACTION: FALSE
RELATEDNESS SATISFACTION QUOTE: 

RELATEDNESS FRUSTRATION: FALSE
RELATEDNESS FRUSTRATION QUOTE:"
200804326,english,"Beat the game. Pretty good game.

Got to be a 'movie star' and get my own car.

Overall, it's kinda hard to learn at the beginning (I hate the Temple of Trails), not like the modern Fallout games.

Then you start to get the hang of it. Then you find your first gun, then the real fun begins (unless you've tagged unarmed).

The story is pretty good. 

I think this might be my favorite Fallout game of all time. (FO4 being my 2nd fav)

10/10 game. Would recommend.",1753585734,1753585734,True,0,0,0.5,0,True,False,False,False,76561199672194813,0,1,2007,1932,1928,1753639580,,True,Beat the game.,True,I hate the Temple of Trails,True,freedom in playstyle,False,,False,,False,,"COMPETENCE SATISFACTION: TRUE
COMPETENCE SATISFACTION QUOTE: ""Beat the game.""

COMPETENCE FRUSTRATION: TRUE
COMPETENCE FRUSTRATION QUOTE: ""I hate the Temple of Trails""

AUTONOMY SATISFACTION: TRUE
AUTONOMY SATISFACTION QUOTE: ""freedom in playstyle""

AUTONOMY FRUSTRATION: FALSE
AUTONOMY FRUSTRATION QUOTE: [leave blank]

RELATEDNESS SATISFACTION: FALSE
RELATEDNESS SATISFACTION QUOTE: [leave blank]

RELATEDNESS FRUSTRATION: FALSE
RELATEDNESS FRUSTRATION QUOTE: [leave blank]"
200723041,english,"Fallout 2 is more of Fallout 1, but better. This is the primary factor in whether or not you you should play this game. I think you should, though.",1753501812,1753501812,True,0,0,0.5,0,True,False,False,False,76561199012552013,99,14,713,565,533,1753660270,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE
COMPETENCE SATISFACTION QUOTE: 

COMPETENCE FRUSTRATION: FALSE
COMPETENCE FRUSTRATION QUOTE: 

AUTONOMY SATISFACTION: FALSE
AUTONOMY SATISFACTION QUOTE: 

AUTONOMY FRUSTRATION: FALSE
AUTONOMY FRUSTRATION QUOTE: 

RELATEDNESS SATISFACTION: FALSE
RELATEDNESS SATISFACTION QUOTE: 

RELATEDNESS FRUSTRATION: FALSE
RELATEDNESS FRUSTRATION QUOTE:"
200698188,english,"It's a very good Fallout game in the series, the humour is very subjective depending on if you like references everywhere or not.  It's the first game to introduce the Enclave, and various other items along with characters that I don't want to spoil too much.  

I would say that the GOG version is much better hence why I have 0.4 hours on steam.  Steam at the time I tried this was just absolute garbage for the game, and I just got the game for around 2 dollars on GOG instead and it worked with no issues since their whole thing is about making old games playable.",1753473197,1753473197,True,0,0,0.5,0,True,False,False,False,76561198008056560,0,32,25,0,25,1351321200,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE
COMPETENCE SATISFACTION QUOTE: 

COMPETENCE FRUSTRATION: FALSE
COMPETENCE FRUSTRATION QUOTE: 

AUTONOMY SATISFACTION: FALSE
AUTONOMY SATISFACTION QUOTE: 

AUTONOMY FRUSTRATION: FALSE
AUTONOMY FRUSTRATION QUOTE: 

RELATEDNESS SATISFACTION: FALSE
RELATEDNESS SATISFACTION QUOTE: 

RELATEDNESS FRUSTRATION: FALSE
RELATEDNESS FRUSTRATION QUOTE:"
200677637,ukrainian,"Це не просто гра - це досвід. Це приклад ідеального сиквелу до вже і так дуже хорошої гри. Це гра, приклад старої доброї RPG, у якій кількість варіантів проходження і їх методи просто лякають. Це гра, у якій ти задумуєшся ""а так можна було?"". Це гра просякнута атмосферою вже не постапокаліпсису, а постпостапокаліпсису, де люди змирилися з новим світом і стараються у ньому побудувати нове суспільство. Це усе Fallout 2. Це 12 розмовляючих анімованих 3D голів з 10",1753455396,1753455396,True,1,0,0.5238095521926879,1,True,False,False,False,76561198257496620,169,17,3791,2360,3791,1753454416,,True,"Це гра, приклад старої доброї RPG, у якій кількість варіантів проходження і їх методи просто лякають.",False,,True,"Це гра, у якій ти задумуєшся а так можна було?.",False,,False,,False,,"COMPETENCE SATISFACTION: TRUE
COMPETENCE SATISFACTION QUOTE: Це гра, приклад старої доброї RPG, у якій кількість варіантів проходження і їх методи просто лякають.

COMPETENCE FRUSTRATION: FALSE
COMPETENCE FRUSTRATION QUOTE:

AUTONOMY SATISFACTION: TRUE
AUTONOMY SATISFACTION QUOTE: Це гра, у якій ти задумуєшся ""а так можна було?"".

AUTONOMY FRUSTRATION: FALSE
AUTONOMY FRUSTRATION QUOTE:

RELATEDNESS SATISFACTION: FALSE
RELATEDNESS SATISFACTION QUOTE:

RELATEDNESS FRUSTRATION: FALSE
RELATEDNESS FRUSTRATION QUOTE:"
200646737,english,Just barely made it to vault city and gecko and this game is infinitely more tolerable than fallout 4,1753423730,1753423730,True,0,0,0.5,0,True,False,False,False,76561198845033912,0,54,740,740,522,1753585437,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE
COMPETENCE SATISFACTION QUOTE: 

COMPETENCE FRUSTRATION: FALSE
COMPETENCE FRUSTRATION QUOTE: 

AUTONOMY SATISFACTION: FALSE
AUTONOMY SATISFACTION QUOTE: 

AUTONOMY FRUSTRATION: FALSE
AUTONOMY FRUSTRATION QUOTE: 

RELATEDNESS SATISFACTION: FALSE
RELATEDNESS SATISFACTION QUOTE: 

RELATEDNESS FRUSTRATION: FALSE
RELATEDNESS FRUSTRATION QUOTE:"
200570791,russian,"Создал я значит перса. 10 в удачу - всё остальное по пятёркам. 
Взял особеность ""Порченный"" (дарова криты с пропуском своего хода или уроном по себе)
Починил машину у Смитти.
Доехал до Наварро и притворившись новичком, свистнул силовую броню Анклава.
""По пути"" заглядываю на танкер в Сан-Франциско и с первого раза ворую гаус пушку у охранницы. (кража 15%)
Регулярно, стабильно наблюдал клоунаду, когда охранник каравана решетил с очереди своего нанимателя, вместо нападающих.
Вырезал в Нью-Рино несколько банд, а жену одного из главарей стабильно потряхивал. (в финале победили Райты. Пользуйтесь презиками пацаны.) 
Наконец заполучил ГЭКК, выполняя квесты (помог когтям смерти)
Приезжаю в деревню... ""Ну и нахрен я это делал?""
Чиню Танкер. 
Доплываю до нефтевышки. Нахожу там второй ГЭКК ""Ну и нахрен я это делал? - х2""
Убеждаю одного ботана газифицировать станцию. Подрываю кампудахтер пластидом.
На выходе убеждаю пареняг у входа, что именно тот амбал упал на Ребекку сверху.
Расстреливаем Абобуса.
ПРОФИТ.

И того 10 из 10 на момент релиза. (я тогда так ни разу и не проходил до конца)
7 из 10 на момент 25-го года. (произошло моральное устаревание подхода геймдизайна, который подразумевает, что игрок ознакомлен с руководством шедшим с этой игрой + вылеты ¯\_(ツ)_/¯ )

Олдфагам - советую. (но они и без меня уже там всё прошли)
Ньюфагам - не могу рекомендовать. Уж шибко изнеженное у вас поколение... Однако если вас не отталкивает ""старость"" игры - я только за. Дерзайте.",1753372333,1753404197,True,2,0,0.5406360626220703,0,True,False,False,False,76561198013599240,0,16,5721,3022,5721,1753369790,,True,Вырезал в Нью-Рино несколько банд,False,,True,Взял особеность Порченный (дарова криты с пропуском своего хода или уроном по себе),False,,False,,False,,"COMPETENCE SATISFACTION: TRUE
COMPETENCE SATISFACTION QUOTE: ""Вырезал в Нью-Рино несколько банд""

COMPETENCE FRUSTRATION: FALSE
COMPETENCE FRUSTRATION QUOTE: [leave blank]

AUTONOMY SATISFACTION: TRUE
AUTONOMY SATISFACTION QUOTE: ""Взял особеность ""Порченный"" (дарова криты с пропуском своего хода или уроном по себе)""

AUTONOMY FRUSTRATION: FALSE
AUTONOMY FRUSTRATION QUOTE: [leave blank]

RELATEDNESS SATISFACTION: FALSE
RELATEDNESS SATISFACTION QUOTE: [leave blank]

RELATEDNESS FRUSTRATION: FALSE
RELATEDNESS FRUSTRATION QUOTE: [leave blank]"
200537001,english,Only the first 1/3rd of the game sucks. Pretty good for a 90s game.,1753359540,1753359540,True,0,0,0.5,0,True,False,False,False,76561198014765810,678,114,2266,2206,2266,1753286187,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE
COMPETENCE SATISFACTION QUOTE: 

COMPETENCE FRUSTRATION: FALSE
COMPETENCE FRUSTRATION QUOTE: 

AUTONOMY SATISFACTION: FALSE
AUTONOMY SATISFACTION QUOTE: 

AUTONOMY FRUSTRATION: FALSE
AUTONOMY FRUSTRATION QUOTE: 

RELATEDNESS SATISFACTION: FALSE
RELATEDNESS SATISFACTION QUOTE: 

RELATEDNESS FRUSTRATION: FALSE
RELATEDNESS FRUSTRATION QUOTE:"
