recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,author.deck_playtime_at_review,timestamp_dev_responded,developer_response,COMPETENCE SATISFACTION_TF,COMPETENCE SATISFACTION_QUOTE,COMPETENCE FRUSTRATION_TF,COMPETENCE FRUSTRATION_QUOTE,AUTONOMY SATISFACTION_TF,AUTONOMY SATISFACTION_QUOTE,AUTONOMY FRUSTRATION_TF,AUTONOMY FRUSTRATION_QUOTE,RELATEDNESS SATISFACTION_TF,RELATEDNESS SATISFACTION_QUOTE,RELATEDNESS FRUSTRATION_TF,RELATEDNESS FRUSTRATION_QUOTE,raw_llm_output
199332333,english,"Amazing game. Ive put in hundreds of hours into this game. Very addicting. Steam shows low hours due to majority of time played on EPIC. Highly recommend if you like building games, engineering, etc.",1752023901,1752023901,True,0,0,0.5,0,True,False,False,False,76561198050808470,0,4,1977,1960,1972,1752025207,42.0,,,True,Very addicting.,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: TRUE  
COMPETENCE SATISFACTION QUOTE: ""Very addicting.""  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
199327962,english, a really good game just got and it's  my favorite game you i like how the name is a pun (satis-factory),1752019075,1752019075,True,0,0,0.5,0,True,False,False,False,76561199529133647,0,1,324,336,234,1752024323,,,,False,,False,,True,i like how the name is a pun (satis-factory),False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: TRUE  
AUTONOMY SATISFACTION QUOTE: ""i like how the name is a pun (satis-factory)""  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
199327294,english,"Love the open world feel, wish map was a little more diverse but the current map area feels well balanced.",1752018274,1752018274,True,0,0,0.5,0,True,False,False,False,76561199048185860,0,1,518,523,428,1752023649,,,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
199323875,english,Gouge my eyes out and put them in a box that contains a PC capable of playing Satisfactory and nothing else. That would be an existence more fulfilling than my current.,1752014517,1752014517,True,0,0,0.5,0,True,False,False,False,76561198263327842,0,12,1970,150,1882,1752019677,,,,False,,True,Gouge my eyes out and put them in a box that contains a PC capable of playing Satisfactory and nothing else. That would be an existence more fulfilling than my current.,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: TRUE  
COMPETENCE FRUSTRATION QUOTE: ""Gouge my eyes out and put them in a box that contains a PC capable of playing Satisfactory and nothing else. That would be an existence more fulfilling than my current.""  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
199323472,english,this game is addicting plus there is almost unlimited content,1752014133,1752014133,True,0,0,0.5,0,True,False,False,False,76561199073924948,0,1,1778,1778,1613,1752024034,,,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE FRUSTRATION: FALSE  
AUTONOMY SATISFACTION: FALSE  
AUTONOMY FRUSTRATION: FALSE  
RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS FRUSTRATION: FALSE"
199322287,english,very good def buy if you wanna spend 20 hrs on a game in one sitting,1752012919,1752012919,True,0,0,0.5,0,True,False,False,False,76561199871244363,0,1,1040,1040,833,1752024249,,,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
199317110,english,factoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactoryfactory is all i know,1752008025,1752008025,True,0,0,0.5,0,True,False,False,False,76561199588413012,0,3,11067,2095,11067,1751996840,,,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
199310757,english,"This is one of my favorite games of all time! It is a great huge world to explore, with lots to find and see, there is a long line of progression to do from start to end, so there is always something for you to do. The graphics in the game are so fantastic, where I just find myself looking out over the landscape sometimes.

Though I will also highly recommend to get some friends to play the game with, it just makes the experience a lot more enjoyable. 

I cannot wait to see what more the developers have in store for this game!",1752002567,1752002567,True,1,0,0.5101351141929626,0,True,False,False,False,76561198047069696,0,85,7476,1000,7476,1751917622,,,,True,"It is a great huge world to explore, with lots to find and see, there is a long line of progression to do from start to end, so there is always something for you to do.",False,,True,"I highly recommend to get some friends to play the game with, it just makes the experience a lot more enjoyable.",False,,True,"I highly recommend to get some friends to play the game with, it just makes the experience a lot more enjoyable.",False,,"COMPETENCE SATISFACTION: TRUE  
COMPETENCE SATISFACTION QUOTE: ""It is a great huge world to explore, with lots to find and see, there is a long line of progression to do from start to end, so there is always something for you to do.""  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: TRUE  
AUTONOMY SATISFACTION QUOTE: ""I highly recommend to get some friends to play the game with, it just makes the experience a lot more enjoyable.""  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: TRUE  
RELATEDNESS SATISFACTION QUOTE: ""I highly recommend to get some friends to play the game with, it just makes the experience a lot more enjoyable.""  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
199306236,english,"Certified Alien Burger Game.

On a large distant planet you start off small and build simple constructions, and then come to realise you can always expand and redo what you made into something even better. Crap, you think to yourself, and built it again. Hell you might end up like me and start learning about actual factory building because it's intriguing how you can almost always improve the factory that at one point thought was the bomb. But the neat part is that when you need a break from min-maxing your creations you can explore and kill these little pesky aliens while gathering buffs for the factory, or build a giant highway for your trucks, or improve the pen of your lizard dogs, or make a 1:1 scale of your childhood jungle gym for the alien spiders in a dark cave... uhh..
Anyways it gets surprisingly fun to adventure out on the planet simply because the hand-crafted map is both pretty and interesting enough to want to discover. The final piece of why this game is easy to sperg out to is that the sandbox settings and modding can mould the game into exactly what you want out of a factory game. I've personally gotten a lot of mileage from both a jump/sprint & a hook mod that makes travelling super fun. The story however is quite ass and hasn't improved much since Early Access but who cares when the charm of everything else makes Satisfactory so goddamn fun to progress.

I suck at math and still have a ton of fun with this autism trap.",1751998718,1751998718,True,1,0,0.52173912525177,0,True,False,False,False,76561198019018076,1407,12,19688,2409,19688,1751987972,,,,True,It's intriguing how you can almost always improve the factory that at one point thought was the bomb.,False,,True,The sandbox settings and modding can mould the game into exactly what you want out of a factory game.,False,,False,,False,,"COMPETENCE SATISFACTION: TRUE  
COMPETENCE SATISFACTION QUOTE: ""It's intriguing how you can almost always improve the factory that at one point thought was the bomb.""  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: TRUE  
AUTONOMY SATISFACTION QUOTE: ""The sandbox settings and modding can mould the game into exactly what you want out of a factory game.""  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS FRUSTRATION: FALSE"
199306021,english,One of the best factory building games out there 10/10,1751998545,1751998545,True,0,0,0.5,0,True,False,False,False,76561199475875313,83,3,21868,25,21868,1751878196,,,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE FRUSTRATION: FALSE  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY FRUSTRATION: FALSE  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS FRUSTRATION: FALSE"
