recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,author.deck_playtime_at_review,COMPETENCE SATISFACTION_TF,COMPETENCE SATISFACTION_QUOTE,COMPETENCE FRUSTRATION_TF,COMPETENCE FRUSTRATION_QUOTE,AUTONOMY SATISFACTION_TF,AUTONOMY SATISFACTION_QUOTE,AUTONOMY FRUSTRATION_TF,AUTONOMY FRUSTRATION_QUOTE,RELATEDNESS SATISFACTION_TF,RELATEDNESS SATISFACTION_QUOTE,RELATEDNESS FRUSTRATION_TF,RELATEDNESS FRUSTRATION_QUOTE,raw_llm_output
200966885,english,"So far have hit the 50 hour mark, and unfortunately I am hooked like a smack addict.  This game is amazing and exactly what I have been looking for.  I am a creative, and Im mechanically minded and I love creating in this game.  I played minecraft, but it can go and get f##ked because this is where its at if you are a creative person.  Modders please listen to this next sentence.  Can you please design some furniture, plants and fittings for those wanting to do a corporate office to overlook the factory.  Thats on my to do list and this game needs cool sh#t to go into such buildings that arnt productive.",1753767108,1753767108,True,0,0,0.5,0,True,False,False,False,76561198180539883,0,5,1946,1946,1757,1753788719,,False,,False,,True,"I am a creative, and Im mechanically minded and I love creating in this game.",False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: TRUE  
AUTONOMY SATISFACTION QUOTE: ""I am a creative, and Im mechanically minded and I love creating in this game.""  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
200965296,english,"the factory must grow, but only until i've rebuilt the entire infrastructure of the rest of my factory so that i can streamline production",1753764705,1753764705,True,0,0,0.5,0,True,False,False,False,76561199006818518,124,22,11994,0,11994,1731786801,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
200962025,english,"Satisfactory has successfully integrated the best aspect of adventure, shooter and builder games in an unbelievably diverse and beautiful world. This is the Sandbox you've been waiting for.",1753759987,1753759987,True,0,0,0.5,0,True,False,False,False,76561198341431173,0,4,41670,1104,41604,1753763831,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
200959966,english,"Satisfactory is one of those games that completely grabs your attention. The moment you start building, you just want to keep going. The world is beautiful and exploring it is fun, but the real satisfaction comes from watching your factory grow and become more complex over time.

Everything feels solid and smooth. The building system is smart and gives you the freedom to plan things the way you want. It feels really good to see things working exactly how you imagined. Sometimes it takes a while to figure out how to connect everything in the most efficient way, but that process is part of the fun.

The sound design and music are also great. They help create the right atmosphere while you work on your next big project. Even when I am just standing still and looking at everything I built, it feels rewarding.

I keep coming back to this game because there is always something new I want to try. A new layout. A better power system. A new goal to reach. It keeps me thinking and planning even when I am not playing.

I definitely recommend it.",1753757284,1753757284,True,0,0,0.5,0,True,False,False,False,76561198835496135,79,8,6707,6707,6599,1753792033,,True,It feels really good to see things working exactly how you imagined.,False,,True,The building system is smart and gives you the freedom to plan things the way you want.,False,,False,,False,,"COMPETENCE SATISFACTION: TRUE  
COMPETENCE SATISFACTION QUOTE: ""It feels really good to see things working exactly how you imagined.""  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: TRUE  
AUTONOMY SATISFACTION QUOTE: ""The building system is smart and gives you the freedom to plan things the way you want.""  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
200959433,english,"I havent seen the sun in 1400 hours, my waking hours are filled with thoughts of the all consuming overlord; The Space Elevator.

I have but one mission. The planet MUST be harvested.

10/10 would lose another 1400 hours",1753756540,1753756540,True,0,0,0.5,0,True,False,False,False,76561198014701293,0,1,86563,6606,86563,1753755623,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
200958970,english,"i knew within 15 minutes of playing this game that it was going to hit so many boxes and i was right

it's just literally the perfect builder game

and survival builder you've played - Grounded, Palworld, Rimworld etc........

this is better?

better QOL just everything is intuitive

even just that your character doesnt suck ass from the start - when you sprint, you sprint fast as fuck and when you jump, you jump high

and when you reposition in the air, it's instant and just so good

i'll update this in 100 hours for more

",1753755966,1753755966,True,0,0,0.5,0,True,False,False,False,76561197975769731,0,96,627,627,333,1753793217,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
200958366,english,I can never play this game again cuz 100 hours is too much.,1753755199,1753755199,True,0,0,0.5,0,True,False,False,False,76561198205468416,0,11,6008,141,5998,1753755817,,False,,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
200956047,english,"Yes, you will lose hours of your life in this game. Some times you'll create ugly things, maybe you'll do it a lot. It won't stop you though from exploring and making more ugly things. You'll be proud and love all of it.",1753752238,1753752238,True,0,0,0.5,0,True,False,False,False,76561198292971255,129,21,116576,55,116540,1753755261,,True,You'll be proud and love all of it.,False,,True,It won't stop you though from exploring and making more ugly things.,False,,False,,False,,"COMPETENCE SATISFACTION: TRUE  
COMPETENCE SATISFACTION QUOTE: ""You'll be proud and love all of it.""  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: TRUE  
AUTONOMY SATISFACTION QUOTE: ""It won't stop you though from exploring and making more ugly things.""  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
200953577,english,best builder game ive played in a long time. building is so easy and progression forces you to make more satisfying factorys which is the aim of the game. ive really enjoyed it so far,1753749023,1753749023,True,0,0,0.5,0,True,False,False,False,76561198449113220,0,2,3799,3799,3746,1753765707,,True,building is so easy and progression forces you to make more satisfying factorys which is the aim of the game.,False,,False,,False,,False,,False,,"COMPETENCE SATISFACTION: TRUE  
COMPETENCE SATISFACTION QUOTE: ""building is so easy and progression forces you to make more satisfying factorys which is the aim of the game.""  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: FALSE  
AUTONOMY SATISFACTION QUOTE:  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
200950720,english,Do you weirdly identify with the oil monster from the film Fern Gully? Did you like the part in Avatar when they cut the big tree down? Assert your dominance over the landscape and manifest your automated destiny in Satisfactory! You will spend 4 hours creating pipes and checking head pressure. Overbuild power so you can avoid getting power outages!,1753745305,1753745305,True,0,0,0.5,0,True,False,False,False,76561198086807600,0,1,5670,646,5670,1753639548,,False,,False,,True,Assert your dominance over the landscape and manifest your automated destiny in Satisfactory!,False,,False,,False,,"COMPETENCE SATISFACTION: FALSE  
COMPETENCE SATISFACTION QUOTE:  

COMPETENCE FRUSTRATION: FALSE  
COMPETENCE FRUSTRATION QUOTE:  

AUTONOMY SATISFACTION: TRUE  
AUTONOMY SATISFACTION QUOTE: ""Assert your dominance over the landscape and manifest your automated destiny in Satisfactory!""  

AUTONOMY FRUSTRATION: FALSE  
AUTONOMY FRUSTRATION QUOTE:  

RELATEDNESS SATISFACTION: FALSE  
RELATEDNESS SATISFACTION QUOTE:  

RELATEDNESS FRUSTRATION: FALSE  
RELATEDNESS FRUSTRATION QUOTE:"
