recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,author.deck_playtime_at_review
200900351,english,"
",1753692261,1753692261,True,0,0,0.5,0,True,False,False,False,76561199231642283,0,5,604,604,584,1753698209,
200873104,english,f,1753654089,1753654089,True,0,0,0.5,0,True,False,False,False,76561199245179572,0,2,452,1,452,1753585677,
200869327,english,DO NOT BUY. bethesda's website warns this has not been supported since windows 7 (2009-2012) -- launcher loads but game crashes. worked thru all of bethesda's faq (compatibility options for every prior windows version and/or 'run as administrator') -- nothing works. do not buy.,1753650204,1753650204,False,0,0,0.5,0,True,False,False,False,76561197991592226,0,43,76,33,75,1753650674,
200865828,english,Got welcomed by game crash,1753646703,1753646703,True,0,0,0.5,0,True,False,False,False,76561198389300233,0,62,410,410,69,1753704949,
200842575,english,It really good,1753626982,1753626982,True,0,0,0.5,0,True,False,False,False,76561198245439010,0,19,1547,1547,643,1753681501,
200836105,english,Fallout Series Continues,1753621509,1753621509,True,0,0,0.5,0,True,False,False,False,76561198012268525,0,1,381,0,381,1524851213,
200823977,english,"Its a fine game, its old and buggy with that bethesda ""charm""
Only crashed like 5 times and steam overlay does not work.
If you interested in this game get it when on sale, full price is too expensive",1753609359,1753609359,True,0,0,0.5,0,True,False,False,False,76561198012588653,0,23,387,1,387,1753598439,
200819590,english,"even after being out for 17 years as of this review, its still a wonderful game. I played it before on my ps3 and played the story on my computer, and I still love it. One issue i have is that steams playtime thingy isnt as accurate to my actual playtime, but I can get by.",1753604534,1753604534,True,0,0,0.5,0,True,False,False,False,76561199509538721,0,1,33,22,32,1753677117,
200802655,latam,No se puede pescar.,1753583667,1753583667,False,0,0,0.5,0,True,False,False,False,76561198062015718,0,27,658,90,658,1753054437,
200790471,spanish,Intenté darle una oportunidad pero ha envejecido muy mal y se hace muy tedioso.,1753568086,1753568086,False,0,0,0.5,0,True,False,False,False,76561197966189276,1091,60,96,0,96,1715366045,34.0
200786802,latam,"no simplemente no

104 minutos intentando hacer que el juego funcione en una pc con windows 10.

bethesda si lees esto, apestas tuve que jugar esto en mi xbox 360.",1753564081,1753564081,False,0,0,0.5,0,True,False,False,False,76561199065986925,75,8,107,6,104,1753592138,
200782171,english,one of my favs only downside is game crashes sometimes,1753559465,1753559465,True,0,0,0.5,0,True,False,False,False,76561199863798013,0,2,804,171,743,1753656194,
