recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played,author.deck_playtime_at_review
200986153,english,fun,1753792558,1753792558,True,0,0,0.5,0,True,False,False,False,76561199779920776,0,1,184,184,183,1753792578,
200979489,english,Enjoying,1753784821,1753784821,True,0,0,0.5,0,True,False,False,False,76561198090572214,0,35,2182,2182,2096,1753790384,
200972775,english,really fun,1753775866,1753775866,True,0,0,0.5,0,True,False,False,False,76561198797900167,0,3,1328,1328,1086,1753792656,
200970886,english,ADDICTIVE,1753773107,1753773107,True,0,0,0.5,0,True,False,False,False,76561198402851409,0,1,6510,3236,6510,1753773051,
200967592,english,this game is so ass i hate it so much,1753768169,1753768169,False,0,1,0.395920813083648682,0,True,False,False,False,76561199100540504,83,30,4284,413,4229,1753778341,
200966885,english,"So far have hit the 50 hour mark, and unfortunately I am hooked like a smack addict.  This game is amazing and exactly what I have been looking for.  I am a creative, and Im mechanically minded and I love creating in this game.  I played minecraft, but it can go and get f##ked because this is where its at if you are a creative person.  Modders please listen to this next sentence.  Can you please design some furniture, plants and fittings for those wanting to do a corporate office to overlook the factory.  Thats on my to do list and this game needs cool sh#t to go into such buildings that arnt productive.",1753767108,1753767108,True,0,0,0.5,0,True,False,False,False,76561198180539883,0,5,1946,1946,1757,1753788719,
200966416,english,roblox tycoon but its really good,1753766366,1753766366,True,0,0,0.5,0,True,False,False,False,76561198422343014,169,10,7136,7136,7136,1753766358,
200965296,english,"the factory must grow, but only until i've rebuilt the entire infrastructure of the rest of my factory so that i can streamline production",1753764705,1753764705,True,0,0,0.5,0,True,False,False,False,76561199006818518,124,22,11994,0,11994,1731786801,
200962025,english,"Satisfactory has successfully integrated the best aspect of adventure, shooter and builder games in an unbelievably diverse and beautiful world. This is the Sandbox you've been waiting for.",1753759987,1753759987,True,0,0,0.5,0,True,False,False,False,76561198341431173,0,4,41670,1104,41604,1753763831,
200961175,english,its fun,1753758889,1753758889,True,0,0,0.5,0,True,False,False,False,76561198365728898,0,1,2296,1467,2059,1753779020,
200960801,english,Great Game Best Factory Game (that i have played),1753758355,1753758355,True,0,0,0.5,0,True,False,False,False,76561198260617561,0,9,17108,5251,17108,1753792622,
200959966,english,"Satisfactory is one of those games that completely grabs your attention. The moment you start building, you just want to keep going. The world is beautiful and exploring it is fun, but the real satisfaction comes from watching your factory grow and become more complex over time.

Everything feels solid and smooth. The building system is smart and gives you the freedom to plan things the way you want. It feels really good to see things working exactly how you imagined. Sometimes it takes a while to figure out how to connect everything in the most efficient way, but that process is part of the fun.

The sound design and music are also great. They help create the right atmosphere while you work on your next big project. Even when I am just standing still and looking at everything I built, it feels rewarding.

I keep coming back to this game because there is always something new I want to try. A new layout. A better power system. A new goal to reach. It keeps me thinking and planning even when I am not playing.

I definitely recommend it.",1753757284,1753757284,True,0,0,0.5,0,True,False,False,False,76561198835496135,79,8,6707,6707,6599,1753792033,
200959433,english,"I havent seen the sun in 1400 hours, my waking hours are filled with thoughts of the all consuming overlord; The Space Elevator.

I have but one mission. The planet MUST be harvested.

10/10 would lose another 1400 hours",1753756540,1753756540,True,0,0,0.5,0,True,False,False,False,76561198014701293,0,1,86563,6606,86563,1753755623,
200959094,english,You've activated autism mode.,1753756112,1753756112,True,0,0,0.5,0,True,False,False,False,76561197960456832,0,10,3303,2235,3303,1753755902,
200958970,english,"i knew within 15 minutes of playing this game that it was going to hit so many boxes and i was right

it's just literally the perfect builder game

and survival builder you've played - Grounded, Palworld, Rimworld etc........

this is better?

better QOL just everything is intuitive

even just that your character doesnt suck ass from the start - when you sprint, you sprint fast as fuck and when you jump, you jump high

and when you reposition in the air, it's instant and just so good

i'll update this in 100 hours for more

",1753755966,1753755966,True,0,0,0.5,0,True,False,False,False,76561197975769731,0,96,627,627,333,1753793217,
200958596,english,...,1753755509,1753755509,True,0,0,0.5,0,True,False,False,False,76561198882262837,0,3,3394,3394,3394,1753734968,
200958366,english,I can never play this game again cuz 100 hours is too much.,1753755199,1753755199,True,0,0,0.5,0,True,False,False,False,76561198205468416,0,11,6008,141,5998,1753755817,
200956872,english,Peak.,1753753308,1753753308,True,0,0,0.5,0,True,False,False,False,76561199808991578,0,3,9349,3830,9342,1753753730,
200956047,english,"Yes, you will lose hours of your life in this game. Some times you'll create ugly things, maybe you'll do it a lot. It won't stop you though from exploring and making more ugly things. You'll be proud and love all of it.",1753752238,1753752238,True,0,0,0.5,0,True,False,False,False,76561198292971255,129,21,116576,55,116540,1753755261,
200955828,english,overrated. get factorio,1753751978,1753751989,False,1,0,0.47826087474822998,0,True,False,False,False,76561198148641911,129,8,2512,0,2512,1728948157,
200955302,english,math,1753751289,1753751289,True,0,0,0.5,0,True,False,False,False,76561198101348088,597,95,141,141,66,1753755546,
200953577,english,best builder game ive played in a long time. building is so easy and progression forces you to make more satisfying factorys which is the aim of the game. ive really enjoyed it so far,1753749023,1753749023,True,0,0,0.5,0,True,False,False,False,76561198449113220,0,2,3799,3799,3746,1753765707,
200953424,english,,1753748817,1753748817,True,0,0,0.5,0,True,False,False,False,76561199159080745,69,1,1245,1212,1140,1753755177,
200951650,english,extremely fun logistical game,1753746487,1753746501,True,0,0,0.5,0,True,False,False,False,76561198341364006,83,10,26178,0,26178,1745746003,
200951644,english,great,1753746483,1753746483,True,0,0,0.5,0,True,False,False,False,76561198378151007,37,1,2621,2621,2446,1753757167,
200950720,english,Do you weirdly identify with the oil monster from the film Fern Gully? Did you like the part in Avatar when they cut the big tree down? Assert your dominance over the landscape and manifest your automated destiny in Satisfactory! You will spend 4 hours creating pipes and checking head pressure. Overbuild power so you can avoid getting power outages!,1753745305,1753745305,True,0,0,0.5,0,True,False,False,False,76561198086807600,0,1,5670,646,5670,1753639548,
